Customer,Unit #,VIN,Year,Make / Model
PHOENIX FREIGHT LLC,012,3AKJHHDVXPSNZ8766,2023,Freightliner Cascadia
ITF GROUP LLC,0123,4V4NC9EH5JN893906,2018,Volvo VNL
AIDAI CORP,013,3AKJHHDR3LSKZ8368,2020,Freightliner Cascadia
BIG BLACK EAGLE LLC,013,3AKJHHDVXKSKP5049,2019,Freightliner Cascadia
FIVE STAR PLANET INC,013,4V4NC9EH4KN902080,2019,Volvo VNL
TURON TRANS,013,4V4NC9EH9LN247173,2020,Volvo VNL
MIRAN SUPPORT LLC,0130,4V4NC9EH5NN287155,2022,Volvo VNL
2M TRUCKING LLC,0130,4V4NC9EH5NN287155,2022,Volvo VNL
MS EXPRESS,0133,1FUJGLDV1FLGM6416,2015,Freightliner Cascadia
BURNING LOVE,014,1FUJHHDR4LLLN2126,2020,Freightliner Cascadia
PTI CARGO,014,3AKJHHDR9NSNC8171,2022,Freightliner Cascadia
TRUST TRANSPORT INC,015,1UYVS253XP3767797,2023,Utility Trailer Manufacturer Utility Trailer Manufacturer
ROYCE LLC,0155,1FUJHHDRXNLNC0155,2022,Freightliner Cascadia
ACK TRANS INC,016,1FUJGLDROHLHC4735,2017,Freightliner Cascadia
AC FREIGHTLINE,016,1XKYD49X6JJ210584,2018,Kenworth T680
ARMORHAND LOGICTICS IMC,016,3AKJHHDR2MSMK7721,2021,Freightliner Cascadia
ECO EXPRESS,017,3AKJHHDR5JSJP8228,2018,Freightliner Cascadia
ECO EXPRESS,018,3AKJHHDR1KSKF4041,2019,Freightliner Cascadia
USA SILK WAY,0186,3AKJHHDR0KSKL0186,2019,Freightliner Cascadia
ECO EXPRESS,019,3AKJHHDR2LSLH7400,2020,Freightliner Cascadia
FOKO LOGISTICS LLC,01c,4V4NC9EHXHN981201,2017,Volvo VNL
USG TRUCKING,02,1TTE533A5H3027142,2017,Transcraft Aluminium Flatbed
ANSOR EXPRESS,02,1UYVS2537 L3785443,2020,Utility Trailer Manufacturer Unknown
STW LTO,02,1XKYDP9X9MJ449102,2021,Kenworth T680
ECO EXPRESS,02,3AKJGLD55GSHD2006,2016,Freightliner Cascadia
BSL TRANSPORT,02,3AKJGLD5XFSFP7049,2015,Freightliner Cascadia
BMB,02,3AKJHHDR2LSLJ4530,2020,Freightliner Cascadia
SAFE AND SECURE,02,3AKJHHDR2LSLJ4530,2020,Freightliner Cascadia
GVF4 TRANSPORT INC,02,3AKJHHDR2MSMP4537,2021,Freightliner Cascadia
J & R LOGISTICS 2022,02,3AKJHHDR5JSJT6903,2018,Freightliner Cascadia
SAM CITY EXPRESS,02,3AKJHHDR8PSNG7434,2023,Freightliner Cascadia
CIDAK EXPRESS LLC,02,3AKJHHDV0LSLF6011,2020,Freightliner Cascadia
SHOD EXPRESS LLC,02,3HSDZAPR5MN063259,2021,International LT625
USG TRUCKING,02,4V4N99EJXHN987081,2017,Volvo VNL
SINO EXP,02,4V4NC9EG0NN297258,2022,Volvo VNL
UZ HIGHWAY LLC,02,4V4NC9EH0KN219762,2019,Volvo VNL
CN CARRIER,02,4V4NC9EH2LN227444,2020,Volvo VNL
SINO EXP,02,4V4NC9EH4MN274038,2021,Volvo VNL
Moonstar Express LLC.,02,4V4NC9EH7KN904020,2019,Volvo VNL
AD EXPRESS LOGISTICS,02,4V4NC9EHXGN956460,2016,Volvo VNL
Visum,02,4V4NC9EJ0RN626865,2024,Volvo VNL
HORIZON,020,3AKJHHDRXKSHU6199,2019,Freightliner Cascadia
RIZELI LOGISTICS,020,3AKJHHDRXKSHU6199,2019,Freightliner Cascadia
IMS LINE,020,4V4NC9EJXHN970945,2017,Volvo VNL
Best Way Truck & Trailer Repair LLC,0202,4V4NC9EH4GN919534,2016,Volvo VNL
SAMCO,0202,4V4NC9EH7MN263258,2021,Volvo VNL
EAGLE EYE,0204,3AKJHHDR8KSKU9603,2019,Freightliner Cascadia
HORIZON,021,3AKJHHDR4KSHU6540,2019,Freightliner Cascadia
ROYCE LLC,021,4V4NC9EH5MN283718,2021,Volvo VNL
IQS,0211,4V4NC9EH4LN210211,2020,Volvo VNL
HORIZON,022,3AKJHHDR1KSHU6558,2019,Freightliner Cascadia
USA SILK WAY,022,3AKJHHDR3PSUE1174,2023,Freightliner Cascadia
AIDAI CORP,022,3AKJHHDR7LSLJ6015,2020,Freightliner Cascadia
C L SCOTT,022,4V4NC9EH5LN232010,2020,Volvo VNL
ECO EXPRESS,022,4V4NC9EH6KN214145,2019,Volvo VNL
EAGLE EYE,0220,3HSDZTZR3LN077250,2020,International LT625
GAMIY FREIGHT LLC,023,1FUJHHDR0KLKE3320,2019,Freightliner Cascadia
ALIGARH CORPORATION,023,3AKJHHDR2KSHU7315,2019,Freightliner Cascadia
HORIZON,023,3AKJHHDR9MSMC0325,2021,Freightliner Cascadia
HORIZON,024,3AKJHHDR2NSMC1754,2022,Freightliner Cascadia
GG CARGO,0242,1FUJHHDR9KLKH0242,2019,Freightliner Cascadia
ANY CARGO INC,025,1FT8W3DT2PEC68519,2023,Ford F-350
ECO EXPRESS,025,4V4NC9EH2JN998712,2018,Volvo VNL
KEEP ON TRUCKING LLC,027,3AKJHHDR5JSJY0027,2018,Freightliner Cascadia
VIP Global Inc.,0271,3AKJHHDR5NSMZ0281,2022,"Freightliner New Cascadia 126 Sleepercab"""
USA SILK WAY,029,3AKJHHDR0PSUG4427,2023,Freightliner Cascadia
PINTO EXPRESS,029426A,1UYUS2531L7864423,2020,Utility Trailer Manufacturer Utility Trailer Manufacturer
ICONX INC,0299,1FUJHHDR1NLNC0299,2022,Freightliner Cascadia
MONO FREIGHT LLC,03,13N2532C1C1554743,2012,Fontaine Trailer Co Fontaine Trailer Co.
STW LTO,03,1XPBDP9X5JD490160,2018,Peterbilt 579
GRAND CARRIERS LLC,03,3AKJHHDR0KSHU6275,2019,Freightliner Cascadia
PHOENIX FREIGHT LLC,03,4V4NC9EG6KN898945,2004,Volvo VNL
ARAVAN CARGO,03,4V4NC9EH1KN203263,2019,Volvo VNL
BLUE SKY,03,4V4NC9EH6HN973161,2017,Volvo VNL
Brothers Way,03,4V4NC9EH6HN973161,2017,Volvo VNL
BORDERLANDERS INC,03,4V4NC9EJ6FN933257,2015,Volvo VNL
MONO FREIGHT LLC,03,HN973161,[MONO,FREIGHT LLC's Unit]
AIDAI CORP,030,3AKJGLD52GSGU0047,2016,Freightliner Cascadia
USA SILK WAY,030,4V4NC9EH8PN617423,2023,Volvo VNL
TOTA TRUCKING LLC,0305,3AKJHHDR0MSMC0858,2021,Freightliner Cascadia
TOTA TRUCKING LLC,0306,3AKJHHDR7MSMC0520,2021,Freightliner Cascadia
TAMERLAN,03099,4V4NC9EH6GN934794,2016,Volvo VNL
GG CARGO,032562,3H3V532C2LR378215,2020,Hyundai Translead Hyundai Translead Trailers
SUCCESSOR INC,0330,3AKJHHDR2PSUM0330,2023,Freightliner Cascadia
NIGHTWELL LOGISTICS,0331,3AKJHHDR4PSUM0331,2023,Freightliner Cascadia
MITHRIL OUTDOOR SYSTEMS(MS),035,4V4NC9EH5JN889001,2018,Volvo VNL
BIG DUCK TRUCKING,0368,3AKJHHDR5MSMC0368,2021,Freightliner Cascadia
KARVON GROUP,0381,3AKJHHDR9NSMZ0381,2022,Freightliner Cascadia
BIG DUCK TRUCKING,0382,3AKJHHDRXMSMC0382,2021,Freightliner Cascadia
MONO FREIGHT LLC,04,13N2532C6E1566244,2014,Fontaine Trailer Co Fontaine Trailer Co.
SINO EXP,04,1FUJHHDV8LLLL1504,2020,Freightliner Cascadia
BIG BLACK EAGLE LLC,04,1XKYD49X8LJ387799,2020,Kenworth T680
SAM CITY EXPRESS,04,1XPBD49X9PD873817,2023,Peterbilt 579
SSS TRUCKING,04,3AKJHHDRXKSKC0857,2019,Freightliner Cascadia
ELEGANCE TRANSPORT LLC,04,3C6UR5CLXPG638263,2023,RAM 2500
Brothers Auto Transport LLC.,04,4V4NC9EH3FN180056,2015,Volvo VNL
ECHELON,04,4V4NC9EHXLN233766,2020,Volvo VNL
MONO FREIGHT LLC,04,566244,[MONO,FREIGHT LLC's Unit]
ELEGANCE TRANSPORT LLC,04,5JW3U3029K3257884,2019,Sure-Trac Sure-Trac Trailers
SINO EXP,04,5V8VC5325FM505389,2015,VNTC VANGUARD NATIONAL TRAILER CORPORATION (VNTC)
IATE INC,040,3AKJHHDR1JSJC6848,2018,Freightliner Cascadia
BORDERLANDERS INC,040,3AKJHHDR4PSUM0331,2023,Freightliner Cascadia
ANSOR EXPRESS,040,3AKJHHDV7LSLH1279,2020,Freightliner Cascadia
STW LTO,0404,3AKJHHDV0LSKY4909,2020,Freightliner Cascadia
IBA logistic Inc,042,3AKJHHDR3KSKJ0806,2019,Freightliner Cascadia
IBA LOGISTICS INC,042,3AKJHHDR3KSKJ0806,2019,Freightliner Cascadia
LOAD X FREIGHT LLC,044,4V4NC9EG6LN251995,2020,Volvo VNL
ROYCE LLC,044,4V4NC9EH8JN886190,2018,Volvo VNL
STW LTO,049,3AKJHHDR6KSKE1544,2019,Freightliner Cascadia
MONO FREIGHT LLC,05,1RND53A23GR037874,2016,Reitnouer Inc Trailers Reitnouer Inc Trailers
MONO FREIGHT LLC,05,1TTF532A2J3078304,2018,Transcraft Aluminium Flatbed
5th WHEEL LOGISTICS,05,1UYFS24875A634828FS2CHA,2005,Utility Trailer Manufacturer Utility Trailer Manufacturer
GRAND CARRIERS LLC,05,3AKJHHDR1LSLK0108,2020,Freightliner Cascadia
ECHELON,05,4V4NC9EH2KN201358,2019,Volvo VNL
JPK TRUCKING,05,4V4NC9EJ8JN891098,2018,Volvo VNL
DUMAN EXPRESS,05,4V4NC9EJ8JN891098,2018,Volvo VNL
STRAIGHT CARGO,050,3AKJHHDR3SSLK6782,2025,Freightliner Cascadia
SUCCESSOR INC,054,1XKYD49X1PJ264433,2023,Kenworth T680
AMINA EXPRESS INC,0565,3AKJHHDR4KSKF0565,2019,Freightliner Cascadia
ALWR CV TRUCKING LLC,0569,4V4NC9EH1MN600569,2021,Volvo VNL
HUN TRANSPORTATION,0577,3AKJGLDR3HSHP1332,2017,Freightliner Cascadia
R BROTHERS TRANSPORT LLC,0579,4V4NC9EH4MN600579,2021,Volvo VNL
USA SILK WAY,0580,1FUJHHFG2RLUY0580,2024,Freightliner Cascadia
ITF GROUP LLC,0590,3AKJHHDR7KSKT0590,2019,Freightliner Cascadia
EVEREST EXPRESS,0590,3AKJHHDR7KSKT0590,2019,Freightliner Cascadia
HUMO Transportation Services,0591A1,3AKJHHDRXJSHU5598,2018,"Freightliner New Cascadia 126 Sleepercab"""
ROYCE LLC,06,1FUJGLD54GLHT1316,2016,Freightliner Cascadia
x TRANSPORT LLC,06,1FUJGLD54GLHT1316,2016,Freightliner Cascadia
PHOENIX FREIGHT LLC,06,1FUJHHDR3KLKN7510,2019,Freightliner Cascadia
FREIGHTWAYS,06,3AKJGLD59GSGY2649,2016,Freightliner Cascadia
ONTIMECHASE INC,06,3AKJHHDR3KSKA9425,2019,Freightliner Cascadia
ON TIME,06,3AKJHHDR3KSKA9425,2019,Freightliner Cascadia
AMERICAN EAGLE,06,3ALXA700XEDFV6813,2014,Freightliner Columbia
YAYA CARGO EXPRESS,06,3C63RRGL3RG108026,2024,Ram 3500
YAYA CARGO EXPRESS,06,3EVGF4028R1109535,2024,Rawmaxx Rawmaxx
DUMAN EXPRESS,06,4V4NC9EH2JN987340,2018,Volvo VNL
JPK TRUCKING,06,4V4NC9EH2JN987340,2018,Volvo VNL
MONO FREIGHT LLC,06,4V4NC9EH3LN230708,2020,Volvo VNL
